MFCC Mean,MFCC Variance,MFCC Skewness,Spectral Centroid,Spectral Rolloff,Spectral Flatness
-283.0684,8437.7,-1.04645,1030.9073937146838,2101.500737272351,0.0366879
154.66884,3605.4734,-1.130527,1030.9073937146838,2101.500737272351,0.0366879
-20.679182,1141.4827,0.033041775,1030.9073937146838,2101.500737272351,0.0366879
19.495974,792.4995,-0.20781662,1030.9073937146838,2101.500737272351,0.0366879
31.871216,504.7734,-0.5613046,1030.9073937146838,2101.500737272351,0.0366879
-22.094732,498.9765,-0.09623437,1030.9073937146838,2101.500737272351,0.0366879
-3.19161,253.33743,-0.06860877,1030.9073937146838,2101.500737272351,0.0366879
7.069254,185.10663,-0.301966,1030.9073937146838,2101.500737272351,0.0366879
-18.63944,225.37627,-0.035413507,1030.9073937146838,2101.500737272351,0.0366879
-2.305027,121.41095,-0.30931687,1030.9073937146838,2101.500737272351,0.0366879
5.036313,81.56261,0.10383684,1030.9073937146838,2101.500737272351,0.0366879
-13.589431,116.30423,0.15745805,1030.9073937146838,2101.500737272351,0.0366879
-2.1460629,79.84174,-0.1640424,1030.9073937146838,2101.500737272351,0.0366879
5.408609,64.937775,0.21512248,1030.9073937146838,2101.500737272351,0.0366879
-7.504703,70.861244,-0.12459816,1030.9073937146838,2101.500737272351,0.0366879
-3.3404474,61.2317,-0.2778744,1030.9073937146838,2101.500737272351,0.0366879
0.24330804,52.42171,0.42546967,1030.9073937146838,2101.500737272351,0.0366879
-6.4161396,54.27637,-0.049348563,1030.9073937146838,2101.500737272351,0.0366879
-3.3288488,46.713264,0.28248549,1030.9073937146838,2101.500737272351,0.0366879
-2.7005455,46.96086,1.3065103,1030.9073937146838,2101.500737272351,0.0366879
